obsDate,Latitude,Longitude,voyageID,locationID,memoType,memoText
1784-10-10 13:00,46.3833,-8.83333,1175,57232,weatherReport,"Winds today du ESE, currently blowing plus frais to the ESE."
1784-10-11 13:00,44.4,-11.75,1175,57233,weatherReport,"Winds today du ESE au SO, currently blowing bon frais to the SW. Sea conditions: Grosse."
1784-10-12 13:00,42.3333,-14.65,1175,57234,weatherReport,"Winds today au ESE, currently blowing bon frais to the ESE. Weather notes: Pluvieux, today's precipitation was Pluie Sea conditions: Grosse."
1784-10-13 13:00,41.2167,-15.4667,1175,57235,weatherReport,"Winds today au E, currently blowing petite frais to the E. Sea conditions: Grosse."
1784-10-14 13:00,39.6667,-17.3,1175,57236,weatherReport,"Winds today du N au NNE, currently blowing jolie frais to the NNE. Sea conditions: Trés houleuse."
1784-10-15 13:00,39.4833,-19.6667,1175,57237,weatherReport,"Winds today du NNE au N et au NO, currently blowing frais to the N. Weather notes: Couvert Sea conditions: Trés grosse."
1784-10-16 14:00,34.8333,-22.9167,1175,57238,weatherReport,"Winds today du NNO au NNE, currently blowing frais to the NNE."
1784-10-17 14:00,32.4,-24.2167,1175,57239,weatherReport,"Winds today du ONO, currently blowing bon frais to the WNW. Sea conditions: Grosse."
1784-10-18 14:00,30.6167,-25.9833,1175,57240,weatherReport,"Winds today du NNO et N au NNE, currently blowing variable to the NNW."
1784-10-19 14:00,29.8333,-27.0,1175,57241,weatherReport,"Winds today du NNO, currently blowing petite brise to the NNW."
1784-10-21 14:00,28.2833,-29.6667,1175,57242,weatherReport,"Winds today au ESE, SE et SSE, currently blowing variable to the SE. Sea conditions: Belle."
1784-10-22 14:00,27.2333,-32.0,1175,57243,weatherReport,Winds today au SE route OSO. Sea conditions: Peu agitée.
1784-10-23 14:00,25.8,-34.3667,1175,57244,weatherReport,"Winds today au SE route OSO, currently blowing frais to the SE. Weather notes: Beau temps et quelques grains, today's precipitation was Pluie."
1784-10-24 14:00,24.4833,-36.0667,1175,57245,weatherReport,"Winds today au ENE, currently blowing vent frais to the ENE. Weather notes: Par grains, today's precipitation was Pluie."
1784-10-25 15:00,23.3,-39.4667,1175,57246,weatherReport,"Winds today au SE, currently blowing frais to the SE."
1784-10-26 15:00,22.0833,-42.2167,1175,57247,weatherReport,"Winds today au E, currently blowing jolie frais to the E. Weather notes: Par grains, today's precipitation was Pluie."
1784-10-27 15:00,21.8833,-45.1167,1175,57248,weatherReport,"Winds today au E, currently blowing jolie frais to the E. Weather notes: Par grains, today's precipitation was Pluie."
1784-10-28 15:00,21.8667,-47.9167,1175,57249,weatherReport,"Winds today au E, currently blowing jolie frais to the E. Sea conditions: Tombé."
1784-10-29 15:00,21.55,-50.3333,1175,57250,weatherReport,Winds today au E. Weather notes: Beau ciel Sea conditions: Belle.
1784-10-30 16:00,21.3833,-52.7667,1175,57251,weatherReport,"Winds today au E, currently blowing petite frais to the E. Weather notes: Beau temps Sea conditions: Belle."
1784-11-02 16:00,20.9833,-56.7167,1175,57252,weatherReport,"Winds today au O, currently blowing fraichir to the W. Sea conditions: Belle."
1784-11-03 16:00,20.4333,-57.9833,1175,57253,weatherReport,"Winds today au N et S, currently blowing foibles to the N."
1784-11-06 16:00,20.1833,-63.1333,1175,57254,weatherReport,"Winds today du O au NE, currently blowing variable to the NE."
1784-11-07 16:00,20.0,-65.6333,1175,57255,weatherReport,"Winds today au NE et au ESE, currently blowing jolie frais to the NE."
1784-11-09 17:00,19.1,-68.7,1175,57256,weatherReport,Winds today au NNO. Weather notes: Clair.
1784-11-10 17:00,19.1333,-69.4,1175,57257,weatherReport,"Winds today du E, currently blowing foible to the E."
1785-02-06 17:00,19.2667,-76.35,1176,57258,weatherReport,"Winds today du ONO au NO et NNO, currently blowing jolie frais to the NW."
1785-12-03 17:00,20.5,-75.8,1176,57259,weatherReport,"Winds today du E au SE et ESE et ENE, currently blowing foibles to the SE."
1785-12-04 17:00,20.6,-75.5667,1176,57260,weatherReport,"Winds today du NO au ESE et SE, currently blowing calme plat to the ESE. Weather notes: Beau temps Sea conditions: Belle."
1786-01-20 17:00,23.0833,-72.0,1176,57261,weatherReport,"Winds today du ESE au  E 1/4 SE et SE, currently blowing jolie frais to the E1/4SE. Weather notes: Beau temps Sea conditions: Belle."
1786-01-22 17:00,25.35,-69.1,1176,57262,weatherReport,"Winds today du SSE au S et SSO et NNO, currently blowing jolie frais to the S. Weather notes: Couvert Sea conditions: Houleuse."
1786-03-23 17:00,25.4333,-67.6667,1177,57263,weatherReport,"Winds today du NNO au N et SSE, currently blowing frais to the N. Weather notes: Beau temps Sea conditions: Belle."
1786-03-24 16:00,25.15,-67.0667,1177,57264,weatherReport,"Winds today du N au Nne et ENE, currently blowing petite vent to the Nne. Sea conditions: Un peu houleuse."
1786-03-25 16:00,25.3667,-66.7333,1177,57265,weatherReport,"Winds today du SE au SSE, currently blowing trés foible to the SSE. Sea conditions: Houleuse."
1786-03-26 16:00,25.6667,-66.6,1177,57266,weatherReport,"Winds today du E au ESE, currently blowing variable to the ESE. Sea conditions: Houleuse."
1786-03-27 16:00,26.3833,-65.45,1177,57267,weatherReport,"Winds today du SE au SSE et S, currently blowing trés foible to the SSE. Sea conditions: Houleuse."
1786-03-30 16:00,26.3833,-62.25,1177,57268,weatherReport,"Winds today du NE au NNE et NE 1/4 E, currently blowing variables to the NNE. Weather notes: Couvert Sea conditions: Dure."
1786-03-31 16:00,27.4,-61.75,1177,57269,weatherReport,"Winds today du ENE au ESE, currently blowing jolie frais to the ESE. Weather notes: Beau temps Sea conditions: Un peu houleuse."
1786-04-01 16:00,28.7667,-60.45,1177,57270,weatherReport,"Winds today du ESE au SSE, currently blowing jolie frais to the SSE. Weather notes: Couvert."
1786-04-05 16:00,33.9333,-53.0833,1177,57271,weatherReport,"Winds today du SO au OSO, currently blowing petite vent to the WSW. Weather notes: Brumeux et pluvieux, today's precipitation was Pluie Sea conditions: Houleuse."
1786-04-06 16:00,33.95,-52.7833,1177,57272,weatherReport,"Winds today du O au SO et ESE et SSE, currently blowing presque calme to the SW."
1786-04-07 15:00,34.3,-51.75,1177,57273,weatherReport,"Winds today du SSE au SE, currently blowing petite frais to the SE. Weather notes: Beau temps Sea conditions: Belle."
1786-04-08 15:00,35.1,-51.15,1177,57274,weatherReport,"Winds today du SSO au SSE et SE, currently blowing trés jolie petite brise to the SSE. Weather notes: Beau temps Sea conditions: Belle."
1786-04-09 15:00,36.1667,-49.5,1177,57275,weatherReport,"Winds today au S et SSE, currently blowing petite vent to the S. Weather notes: Beau temps Sea conditions: Belle."
1786-04-10 15:00,37.5833,-47.0,1177,57276,weatherReport,"Winds today au SSO et SO et OSO, currently blowing foible to the SSW. Weather notes: Beau temps et brumeux, today's precipitation was Petite pluie Sea conditions: Belle."
1786-04-11 15:00,38.25,-45.25,1177,57277,weatherReport,"Winds today du ONO au NNO, currently blowing frais to the NNW. Weather notes: Beau temps et couvert  Sea conditions: Belle."
1786-04-12 15:00,38.6833,-43.8833,1177,57278,weatherReport,"Winds today au NNO et NNEet N, currently blowing foible to the NNW. Weather notes: Beau temps Sea conditions: Belle."
1786-04-15 14:00,43.1,-34.9333,1177,57279,weatherReport,"Winds today du S au SSO et  SO, currently blowing frais to the SSW. Sea conditions: Forte."
1786-04-18 13:00,46.65,-22.2333,1177,57280,weatherReport,Winds today au SSO et SO. Weather notes: Brumeux Sea conditions: Belle.
1786-04-20 13:00,48.4333,-13.5833,1177,57281,weatherReport,"Winds today au S et SO, currently blowing frais to the S. Weather notes: Brumeux Sea conditions: Belle."
1786-04-21 13:00,48.5833,-9.83333,1177,57282,weatherReport,"Winds today du ONO au SSO, currently blowing frais to the SSW. Weather notes: Brumeux Sea conditions: Belle."
1786-04-22 12:00,48.45,-7.33333,1177,57283,weatherReport,"Winds today au O et ONO et NO, currently blowing fort to the W. Weather notes: Trés brumeux Sea conditions: Trés houleuse."
1787-01-03 17:00,20.8833,-75.3667,1177,57284,OtherRem,Apareillé du port Dauphin
1787-01-03 17:00,20.8833,-75.3667,1177,57284,weatherReport,"Winds today du E au NE, currently blowing foibles to the NE. Weather notes: Beau temps Sea conditions: Belle."
1787-01-04 17:00,22.1,-73.4167,1177,57285,weatherReport,"Winds today du ENE au E et au NE, currently blowing frais to the E. Weather notes: Beau temps Sea conditions: Houleuse."
1787-01-08 17:00,20.3167,-75.4833,1177,57286,weatherReport,"Winds today du E au ESE, currently blowing calme plat to the ESE."
1768-04-01 12:00,47.9333,-6.43333,1178,57287,weatherReport,"Winds today du NE au SE, currently blowing bon frais to the SE. Weather notes: Beau temps Sea conditions: Belle."
1768-04-02 12:00,48.35,-6.13333,1178,57288,weatherReport,"Winds today du ENE au E, currently blowing gros frais to the E."
1768-04-03 12:00,48.6167,-5.66667,1178,57289,weatherReport,Winds today au SE. Weather notes: Beau temps Sea conditions: Houleuse.
1768-03-30 12:00,48.1,-7.1,1178,57291,weatherReport,"Winds today du SE, currently blowing bon frais to the SE."
1768-03-31 12:00,48.2333,-7.15,1178,57292,weatherReport,"Winds today du NE au SE, currently blowing bon frais to the SE."
1767-10-26 14:00,24.9167,-30.6833,1179,57293,weatherReport,"Winds today au E, currently blowing petite frais to the E. Weather notes: Beau temps Sea conditions: Un peu houleuse."
1767-10-27 14:00,23.9667,-32.55,1179,57294,weatherReport,"Winds today du E au ENE, currently blowing petite frais to the ENE. Weather notes: Beau temps Sea conditions: Un peu houleuse."
1767-10-28 14:00,22.8667,-34.7,1179,57295,weatherReport,"Winds today du E au ENE, currently blowing petite frais to the ENE. Weather notes: Beau temps Sea conditions: Un peu houleuse."
1767-10-29 14:00,21.0833,-36.8,1179,57296,weatherReport,"Winds today du E au ENE, currently blowing petite frais to the ENE. Weather notes: Beau temps Sea conditions: Un peu houleuse."
1767-10-30 15:00,20.8,-38.75,1179,57297,weatherReport,"Winds today du E au ENE, currently blowing petite frais to the ENE. Weather notes: Beau temps Sea conditions: Houleuse."
1767-10-31 15:00,19.8333,-41.05,1179,57298,weatherReport,"Winds today du SE au ESE et au SE, currently blowing bon petite frais to the ESE. Weather notes: Beau temps."
1767-11-01 15:00,18.0833,-43.2,1179,57299,weatherReport,"Winds today du ESE, currently blowing bon petite frais to the ESE. Weather notes: Beau temps."
1767-11-02 15:00,18.2,-45.2,1179,57300,weatherReport,"Winds today du ESE, currently blowing bon petite frais to the ESE. Weather notes: Beau temps."
1768-03-15 15:00,43.4667,-38.3167,1179,57301,weatherReport,"Winds today au SE, currently blowing gros frais to the SE. Weather notes: Pluvieux, today's precipitation was Pluie."
1768-03-16 14:00,44.0667,-35.5167,1179,57302,weatherReport,"Winds today au SE, currently blowing calme plat to the SE. Weather notes: Couvert et brumé Sea conditions: Houleuse."
1768-03-17 14:00,44.35,-34.05,1179,57303,weatherReport,"Winds today du N au E passant pour le NE, currently blowing petite frais to the E."
1768-03-18 14:00,45.1667,-31.4,1179,57304,weatherReport,"Winds today au SSE, currently blowing bon petite frais to the SSE. Weather notes: Beau temps Sea conditions: Belle."
1768-03-19 14:00,46.2667,-28.3333,1179,57305,weatherReport,"Winds today du S 1/4 SE au S, currently blowing bon frais to the S. Weather notes: Beau temps Sea conditions: Belle."
1768-03-20 14:00,47.7,-24.7333,1179,57306,weatherReport,"Winds today du S 1/4 SE au SE, currently blowing bon frais to the SE. Weather notes: Beau temps Sea conditions: Belle."
1768-03-21 14:00,49.2833,-23.4833,1179,57307,weatherReport,"Winds today du SE au SE 1/4 E, currently blowing joly frais to the SE1/4E. Weather notes: Beau temps."
1767-11-04 15:00,16.2833,-50.5667,1179,57308,weatherReport,"Winds today du ESE, currently blowing bon petite frais to the ESE. Weather notes: Beau temps."
1767-11-05 16:00,16.4833,-53.25,1179,57309,weatherReport,"Winds today du SE, currently blowing bon petite frais to the SE. Weather notes: Beau temps Sea conditions: Belle."
1767-11-06 16:00,16.3,-55.6833,1179,57310,weatherReport,"Winds today du SE au ESE, currently blowing bon petite frais to the ESE. Weather notes: Orageux."
1767-11-07 16:00,16.0667,-57.1667,1179,57311,weatherReport,"Winds today du SE au ESE, currently blowing bon petite frais to the ESE. Weather notes: Orageux."
1767-11-08 16:00,16.0167,-59.6833,1179,57312,Landmark,Sighted Marie Galante to the au O 39 S
1767-11-08 16:00,16.0167,-59.6833,1179,57312,weatherReport,"Winds today du SE au ESE, currently blowing bon petite frais to the ESE. Weather notes: Orageux."
1767-11-09 16:00,16.2833,-61.8667,1179,57313,weatherReport,"Winds today du SE au ESE, currently blowing bon petite frais to the ESE. Weather notes: Orageux."
1767-11-10 16:00,16.2167,-63.7833,1179,57314,weatherReport,"Winds today du SE, currently blowing bon petite frais to the SE. Weather notes: Beau temps Sea conditions: Belle."
1768-02-24 16:00,21.3333,-64.5667,1180,57315,weatherReport,"Winds today du E, currently blowing bon frais to the E. Weather notes: Beau temps Sea conditions: Houleuse."
1768-02-25 16:00,22.3667,-64.7,1180,57316,weatherReport,"Winds today du ESE, currently blowing petite frais to the ESE."
1768-02-26 16:00,22.0667,-64.3333,1180,57317,weatherReport,"Winds today du NE au N 1/4 NE, currently blowing bon frais to the N1/4NE."
1768-03-22 14:00,48.5167,-23.7667,1180,57318,weatherReport,"Winds today du SE au SE 1/4 S, currently blowing bon frais to the SE1/4S. Weather notes: Un peu couvert Sea conditions: Houleuse."
